"isced97","age","geo","time","value"
"ED0-2","Y15-19","AT",2004,79.2
"ED0-2","Y15-19","BE",2004,81.4
"ED0-2","Y15-19","BG",2004,88.4
"ED0-2","Y15-19","CY",2004,85.7
"ED0-2","Y15-19","CZ",2004,89.4
"ED0-2","Y15-19","DE",2004,94.3
"ED0-2","Y15-19","DK",2004,93.6
"ED0-2","Y15-19","EE",2004,85.1
"ED0-2","Y15-19","EL",2004,72.7
"ED0-2","Y15-19","ES",2004,78.7
"ED0-2","Y15-19","EU27",2004,80.8
"ED0-2","Y15-19","EU28",2004,80.7
"ED0-2","Y15-19","FI",2004,88.4
"ED0-2","Y15-19","FR",2004,75.7
"ED0-2","Y15-19","HR",2004,71.1
"ED0-2","Y15-19","HU",2004,86.4
"ED0-2","Y15-19","IE",2004,75.5
"ED0-2","Y15-19","IT",2004,85.8
"ED0-2","Y15-19","LT",2004,85
"ED0-2","Y15-19","LU",2004,87.8
"ED0-2","Y15-19","LV",2004,85.3
"ED0-2","Y15-19","MT",2004,81.6
"ED0-2","Y15-19","NL",2004,82.6
"ED0-2","Y15-19","PL",2004,85.8
"ED0-2","Y15-19","PT",2004,89.5
"ED0-2","Y15-19","RO",2004,86.4
"ED0-2","Y15-19","SE",2004,88.4
"ED0-2","Y15-19","SI",2004,84.7
"ED0-2","Y15-19","SK",2004,87.9
"ED0-2","Y15-19","UK",2004,45.1
"ED0-2","Y15-24","AT",2004,47
"ED0-2","Y15-24","BE",2004,48.8
"ED0-2","Y15-24","BG",2004,58
"ED0-2","Y15-24","CY",2004,54.3
"ED0-2","Y15-24","CZ",2004,47.7
"ED0-2","Y15-24","DE",2004,60.5
"ED0-2","Y15-24","DK",2004,60.6
"ED0-2","Y15-24","EE",2004,52.8
"ED0-2","Y15-24","EL",2004,43.6
"ED0-2","Y15-24","ES",2004,54.4
"ED0-2","Y15-24","EU27",2004,50.7
"ED0-2","Y15-24","EU28",2004,50.6
"ED0-2","Y15-24","FI",2004,51.6
"ED0-2","Y15-24","FR",2004,47.1
"ED0-2","Y15-24","HR",2004,37.7
"ED0-2","Y15-24","HU",2004,50
"ED0-2","Y15-24","IE",2004,43.5
"ED0-2","Y15-24","IT",2004,54.9
"ED0-2","Y15-24","LT",2004,51.5
"ED0-2","Y15-24","LU",2004,58
"ED0-2","Y15-24","LV",2004,55.7
"ED0-2","Y15-24","MT",2004,65.3
"ED0-2","Y15-24","NL",2004,54.5
"ED0-2","Y15-24","PL",2004,46.7
"ED0-2","Y15-24","PT",2004,68.3
"ED0-2","Y15-24","RO",2004,56.6
"ED0-2","Y15-24","SE",2004,45.2
"ED0-2","Y15-24","SI",2004,44.8
"ED0-2","Y15-24","SK",2004,47.2
"ED0-2","Y15-24","UK",2004,33.3
"ED0-2","Y15-29","AT",2004,35
"ED0-2","Y15-29","BE",2004,38.2
"ED0-2","Y15-29","BG",2004,47
"ED0-2","Y15-29","CY",2004,42.3
"ED0-2","Y15-29","CZ",2004,31.7
"ED0-2","Y15-29","DE",2004,45.9
"ED0-2","Y15-29","DK",2004,43.2
"ED0-2","Y15-29","EE",2004,40.1
"ED0-2","Y15-29","EL",2004,35.4
"ED0-2","Y15-29","ES",2004,46.1
"ED0-2","Y15-29","EU27",2004,40.2
"ED0-2","Y15-29","EU28",2004,40.1
"ED0-2","Y15-29","FI",2004,37.2
"ED0-2","Y15-29","FR",2004,37.2
"ED0-2","Y15-29","HR",2004,30.2
"ED0-2","Y15-29","HU",2004,36.6
"ED0-2","Y15-29","IE",2004,34.7
"ED0-2","Y15-29","IT",2004,45.3
"ED0-2","Y15-29","LT",2004,41.2
"ED0-2","Y15-29","LU",2004,44.6
"ED0-2","Y15-29","LV",2004,44.9
"ED0-2","Y15-29","MT",2004,63.5
"ED0-2","Y15-29","NL",2004,42.3
"ED0-2","Y15-29","PL",2004,34.1
"ED0-2","Y15-29","PT",2004,63.1
"ED0-2","Y15-29","RO",2004,45.8
"ED0-2","Y15-29","SE",2004,31.1
"ED0-2","Y15-29","SI",2004,31.8
"ED0-2","Y15-29","SK",2004,33.3
"ED0-2","Y15-29","UK",2004,28.9
"ED0-2","Y20-24","AT",2004,16.2
"ED0-2","Y20-24","BE",2004,17.9
"ED0-2","Y20-24","BG",2004,24
"ED0-2","Y20-24","CY",2004,22.4
"ED0-2","Y20-24","CZ",2004,9.1
"ED0-2","Y20-24","DE",2004,27.2
"ED0-2","Y20-24","DK",2004,25.2
"ED0-2","Y20-24","EE",2004,17.7
"ED0-2","Y20-24","EL",2004,18.1
